Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,4.587347e0
QQN-GoldenSection,50,4.587347e0
QQN-GoldenSection,100,3.384384e0
QQN-GoldenSection,148,3.142175e0
QQN-GoldenSection,196,2.632256e0
QQN-GoldenSection,245,2.336295e0
QQN-GoldenSection,294,2.316872e0
QQN-GoldenSection,343,2.316849e0
QQN-GoldenSection,357,2.316849e0
QQN-GoldenSection,2,4.264751e0
QQN-GoldenSection,52,4.264751e0
QQN-GoldenSection,104,3.591913e0
QQN-GoldenSection,162,3.574480e0
QQN-GoldenSection,210,3.574452e0
QQN-GoldenSection,224,3.574452e0
QQN-GoldenSection,228,3.574452e0
QQN-GoldenSection,2,4.234427e0
QQN-GoldenSection,52,4.234427e0
QQN-GoldenSection,104,3.583863e0
QQN-GoldenSection,162,3.574462e0
QQN-GoldenSection,210,3.574452e0
QQN-GoldenSection,224,3.574452e0
QQN-GoldenSection,228,3.574452e0
QQN-GoldenSection,2,4.829779e0
QQN-GoldenSection,50,4.829779e0
QQN-GoldenSection,99,3.872743e0
QQN-GoldenSection,148,2.433399e0
QQN-GoldenSection,197,2.319555e0
QQN-GoldenSection,246,2.316869e0
QQN-GoldenSection,295,2.316849e0
QQN-GoldenSection,309,2.316849e0
QQN-GoldenSection,2,3.847531e0
QQN-GoldenSection,53,3.847531e0
QQN-GoldenSection,105,3.582814e0
QQN-GoldenSection,163,3.574468e0
QQN-GoldenSection,211,3.574452e0
QQN-GoldenSection,225,3.574452e0
QQN-GoldenSection,229,3.574452e0
QQN-GoldenSection,2,4.084647e0
QQN-GoldenSection,53,4.084647e0
QQN-GoldenSection,105,3.575076e0
QQN-GoldenSection,163,3.574453e0
QQN-GoldenSection,177,3.574452e0
QQN-GoldenSection,181,3.574452e0
QQN-GoldenSection,2,3.992166e0
QQN-GoldenSection,50,3.992166e0
QQN-GoldenSection,102,2.656741e0
QQN-GoldenSection,160,2.329247e0
QQN-GoldenSection,208,2.317405e0
QQN-GoldenSection,256,2.316887e0
QQN-GoldenSection,304,2.316849e0
QQN-GoldenSection,352,2.316849e0
QQN-GoldenSection,356,2.316849e0
QQN-GoldenSection,2,4.375350e0
QQN-GoldenSection,52,4.375350e0
QQN-GoldenSection,104,3.602303e0
QQN-GoldenSection,162,3.574480e0
QQN-GoldenSection,210,3.574452e0
QQN-GoldenSection,224,3.574452e0
QQN-GoldenSection,238,3.574452e0
QQN-GoldenSection,286,3.574452e0
QQN-GoldenSection,290,3.574452e0
QQN-GoldenSection,2,4.124367e0
