Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.447284e0,1.605538e-1
QQN-GoldenSection,49,1.447284e0,1.605538e-1
QQN-GoldenSection,107,8.637831e-2,-1.063595e0
QQN-GoldenSection,162,3.843091e-2,-1.415319e0
QQN-GoldenSection,221,1.367210e-2,-1.864165e0
QQN-GoldenSection,269,1.270076e-3,-2.896170e0
QQN-GoldenSection,317,2.918863e-4,-3.534786e0
QQN-GoldenSection,365,8.310089e-6,-5.080394e0
QQN-GoldenSection,413,9.377918e-8,-7.027894e0
QQN-GoldenSection,461,3.997587e-10,-9.398202e0
QQN-GoldenSection,509,8.491829e-13,-1.207100e1
QQN-GoldenSection,513,2.403439e-16,-1.500000e1
QQN-GoldenSection,2,1.278788e0,1.067985e-1
QQN-GoldenSection,49,1.278788e0,1.067985e-1
QQN-GoldenSection,107,6.877901e-2,-1.162544e0
QQN-GoldenSection,155,2.986483e-2,-1.524840e0
QQN-GoldenSection,203,2.767887e-2,-1.557852e0
QQN-GoldenSection,251,7.187262e-5,-4.143436e0
QQN-GoldenSection,299,1.795918e-5,-4.745713e0
QQN-GoldenSection,347,1.273150e-6,-5.895121e0
QQN-GoldenSection,395,1.848565e-9,-8.733165e0
QQN-GoldenSection,443,4.992331e-12,-1.130170e1
QQN-GoldenSection,447,1.659038e-15,-1.478014e1
QQN-GoldenSection,2,9.396354e-1,-2.704062e-2
QQN-GoldenSection,49,9.396354e-1,-2.704062e-2
QQN-GoldenSection,107,7.717222e-2,-1.112539e0
QQN-GoldenSection,155,3.375547e-2,-1.471656e0
QQN-GoldenSection,203,3.355694e-2,-1.474218e0
QQN-GoldenSection,251,9.192788e-6,-5.036553e0
QQN-GoldenSection,299,2.212639e-7,-6.655089e0
QQN-GoldenSection,347,1.735212e-8,-7.760647e0
QQN-GoldenSection,395,4.493894e-9,-8.347377e0
QQN-GoldenSection,443,1.217382e-11,-1.091457e1
QQN-GoldenSection,447,8.596857e-14,-1.306566e1
QQN-GoldenSection,2,1.180991e0,7.224664e-2
QQN-GoldenSection,49,1.180991e0,7.224664e-2
QQN-GoldenSection,107,9.304704e-2,-1.031297e0
QQN-GoldenSection,162,4.214214e-2,-1.375283e0
QQN-GoldenSection,221,1.433328e-2,-1.843655e0
QQN-GoldenSection,269,1.416767e-3,-2.848702e0
QQN-GoldenSection,317,3.006080e-4,-3.521999e0
QQN-GoldenSection,365,1.967674e-5,-4.706047e0
QQN-GoldenSection,413,4.050832e-7,-6.392456e0
QQN-GoldenSection,461,2.642145e-9,-8.578043e0
QQN-GoldenSection,509,8.375780e-12,-1.107697e1
QQN-GoldenSection,513,3.919133e-15,-1.440681e1
QQN-GoldenSection,2,9.689091e-1,-1.371696e-2
QQN-GoldenSection,49,9.689091e-1,-1.371696e-2
QQN-GoldenSection,107,6.373902e-2,-1.195595e0
QQN-GoldenSection,155,2.768380e-2,-1.557774e0
QQN-GoldenSection,203,2.460489e-2,-1.608979e0
QQN-GoldenSection,251,1.302723e-4,-3.885148e0
QQN-GoldenSection,299,3.447130e-5,-4.462542e0
QQN-GoldenSection,347,1.349093e-6,-5.869958e0
QQN-GoldenSection,395,3.057078e-9,-8.514693e0
QQN-GoldenSection,443,6.326293e-12,-1.119885e1
QQN-GoldenSection,447,2.824001e-15,-1.454914e1
QQN-GoldenSection,2,9.163669e-1,-3.793060e-2
QQN-GoldenSection,49,9.163669e-1,-3.793060e-2
QQN-GoldenSection,107,8.690576e-2,-1.060951e0
QQN-GoldenSection,162,3.872455e-2,-1.412014e0
QQN-GoldenSection,221,1.352649e-2,-1.868815e0
QQN-GoldenSection,269,1.258077e-3,-2.900293e0
QQN-GoldenSection,317,2.907826e-4,-3.536432e0
QQN-GoldenSection,365,8.203783e-6,-5.085986e0
QQN-GoldenSection,413,9.178747e-8,-7.037217e0
QQN-GoldenSection,461,3.867669e-10,-9.412551e0
QQN-GoldenSection,509,8.140880e-13,-1.208933e1
QQN-GoldenSection,513,2.274667e-16,-1.500000e1
QQN-GoldenSection,2,1.664544e0,2.212954e-1
QQN-GoldenSection,49,1.664544e0,2.212954e-1
QQN-GoldenSection,107,1.004270e-1,-9.981494e-1
QQN-GoldenSection,162,4.667090e-2,-1.330954e0
QQN-GoldenSection,221,1.379553e-2,-1.860261e0
QQN-GoldenSection,269,1.531449e-3,-2.814897e0
QQN-GoldenSection,317,2.938072e-4,-3.531938e0
QQN-GoldenSection,365,3.412804e-5,-4.466889e0
QQN-GoldenSection,413,7.601208e-7,-6.119117e0
QQN-GoldenSection,461,6.871773e-9,-8.162931e0
QQN-GoldenSection,509,2.367718e-11,-1.062567e1
QQN-GoldenSection,513,1.695639e-14,-1.377067e1
QQN-GoldenSection,2,1.423705e0,1.534199e-1
QQN-GoldenSection,49,1.423705e0,1.534199e-1
QQN-GoldenSection,107,5.148984e-2,-1.288278e0
QQN-GoldenSection,155,2.273239e-2,-1.643355e0
QQN-GoldenSection,203,1.885883e-2,-1.724485e0
QQN-GoldenSection,251,2.556830e-4,-3.592298e0
QQN-GoldenSection,299,6.646316e-5,-4.177419e0
QQN-GoldenSection,347,1.614162e-6,-5.792053e0
QQN-GoldenSection,395,3.636334e-9,-8.439336e0
QQN-GoldenSection,443,8.126281e-12,-1.109011e1
QQN-GoldenSection,447,2.305020e-15,-1.463733e1
QQN-GoldenSection,2,1.588476e0,2.009806e-1
QQN-GoldenSection,49,1.588476e0,2.009806e-1
QQN-GoldenSection,107,7.434000e-2,-1.128777e0
QQN-GoldenSection,155,3.243253e-2,-1.489019e0
QQN-GoldenSection,203,3.017990e-2,-1.520282e0
QQN-GoldenSection,251,1.856782e-5,-4.731239e0
QQN-GoldenSection,299,2.020921e-6,-5.694451e0
QQN-GoldenSection,347,5.301339e-7,-6.275614e0
QQN-GoldenSection,395,5.456038e-13,-1.226312e1
QQN-GoldenSection,399,6.387570e-18,-1.500000e1
QQN-GoldenSection,2,1.477326e0,1.694762e-1
QQN-GoldenSection,49,1.477326e0,1.694762e-1
QQN-GoldenSection,107,5.432254e-2,-1.265020e0
QQN-GoldenSection,155,2.385052e-2,-1.622502e0
QQN-GoldenSection,203,1.987596e-2,-1.701672e0
QQN-GoldenSection,251,2.296237e-4,-3.638983e0
QQN-GoldenSection,299,5.950984e-5,-4.225411e0
QQN-GoldenSection,347,1.866858e-6,-5.728889e0
QQN-GoldenSection,395,3.962204e-9,-8.402063e0
QQN-GoldenSection,443,9.263173e-12,-1.103324e1
QQN-GoldenSection,447,3.051783e-15,-1.451545e1
QQN-GoldenSection,2,1.258372e0,9.980910e-2
QQN-GoldenSection,49,1.258372e0,9.980910e-2
QQN-GoldenSection,107,1.199368e-1,-9.210475e-1
QQN-GoldenSection,162,6.090937e-2,-1.215316e0
QQN-GoldenSection,210,1.293914e-2,-1.888095e0
QQN-GoldenSection,268,1.979542e-3,-2.703435e0
QQN-GoldenSection,316,5.454776e-4,-3.263223e0
QQN-GoldenSection,364,2.554752e-5,-4.592651e0
QQN-GoldenSection,412,2.045704e-7,-6.689157e0
QQN-GoldenSection,460,6.301681e-10,-9.200544e0
QQN-GoldenSection,508,3.000367e-12,-1.152283e1
QQN-GoldenSection,512,5.238931e-16,-1.500000e1
QQN-GoldenSection,2,1.212610e0,8.372126e-2
QQN-GoldenSection,49,1.212610e0,8.372126e-2
QQN-GoldenSection,107,1.327386e-1,-8.770028e-1
QQN-GoldenSection,163,7.263432e-2,-1.138858e0
QQN-GoldenSection,211,6.099651e-3,-2.214695e0
QQN-GoldenSection,270,6.343811e-4,-3.197650e0
QQN-GoldenSection,318,2.036944e-4,-3.691021e0
QQN-GoldenSection,366,8.881321e-7,-6.051522e0
QQN-GoldenSection,414,2.430679e-10,-9.614272e0
QQN-GoldenSection,418,2.638025e-18,-1.500000e1
QQN-GoldenSection,2,1.290359e0,1.107105e-1
QQN-GoldenSection,49,1.290359e0,1.107105e-1
QQN-GoldenSection,107,1.457496e-1,-8.363927e-1
QQN-GoldenSection,164,8.697843e-2,-1.060588e0
QQN-GoldenSection,213,2.490237e-3,-2.603759e0
QQN-GoldenSection,272,5.523420e-5,-4.257792e0
QQN-GoldenSection,320,1.756496e-5,-4.755353e0
QQN-GoldenSection,368,1.014396e-9,-8.993792e0
QQN-GoldenSection,372,1.536255e-13,-1.281354e1
QQN-GoldenSection,2,1.150928e0,6.104799e-2
QQN-GoldenSection,49,1.150928e0,6.104799e-2
QQN-GoldenSection,107,1.336648e-1,-8.739830e-1
QQN-GoldenSection,163,7.357061e-2,-1.133296e0
QQN-GoldenSection,211,5.195868e-3,-2.284342e0
QQN-GoldenSection,270,4.836915e-4,-3.315432e0
QQN-GoldenSection,318,1.563675e-4,-3.805854e0
QQN-GoldenSection,366,4.191886e-7,-6.377591e0
QQN-GoldenSection,414,6.628108e-11,-1.017861e1
QQN-GoldenSection,418,1.718909e-19,-1.500000e1
QQN-GoldenSection,2,1.131792e0,5.376671e-2
QQN-GoldenSection,49,1.131792e0,5.376671e-2
QQN-GoldenSection,107,1.500339e-1,-8.238105e-1
QQN-GoldenSection,166,9.232246e-2,-1.034693e0
QQN-GoldenSection,221,1.539559e-2,-1.812604e0
QQN-GoldenSection,280,5.698016e-3,-2.244276e0
QQN-GoldenSection,328,1.009177e-3,-2.996033e0
QQN-GoldenSection,376,2.404345e-4,-3.619003e0
QQN-GoldenSection,424,1.088034e-5,-4.963358e0
QQN-GoldenSection,472,1.445735e-7,-6.839911e0
QQN-GoldenSection,520,2.284284e-9,-8.641250e0
QQN-GoldenSection,568,5.055261e-12,-1.129626e1
QQN-GoldenSection,572,5.065008e-15,-1.429542e1
QQN-GoldenSection,2,1.031234e0,1.335712e-2
QQN-GoldenSection,49,1.031234e0,1.335712e-2
QQN-GoldenSection,107,9.046041e-2,-1.043541e0
QQN-GoldenSection,162,4.067047e-2,-1.390721e0
QQN-GoldenSection,221,1.400175e-2,-1.853818e0
QQN-GoldenSection,269,1.341865e-3,-2.872291e0
QQN-GoldenSection,317,2.970228e-4,-3.527210e0
QQN-GoldenSection,365,1.398253e-5,-4.854414e0
QQN-GoldenSection,413,2.397472e-7,-6.620246e0
QQN-GoldenSection,461,1.300206e-9,-8.885988e0
QQN-GoldenSection,509,3.590684e-12,-1.144482e1
QQN-GoldenSection,513,1.338591e-15,-1.487335e1
QQN-GoldenSection,2,1.601685e0,2.045772e-1
QQN-GoldenSection,49,1.601685e0,2.045772e-1
QQN-GoldenSection,107,7.283745e-2,-1.137645e0
QQN-GoldenSection,155,3.173784e-2,-1.498423e0
QQN-GoldenSection,203,2.895068e-2,-1.538341e0
QQN-GoldenSection,251,2.744310e-5,-4.561567e0
QQN-GoldenSection,299,4.242474e-6,-5.372381e0
QQN-GoldenSection,347,9.412811e-7,-6.026281e0
QQN-GoldenSection,351,2.065127e-13,-1.268505e1
QQN-GoldenSection,2,1.273061e0,1.048492e-1
QQN-GoldenSection,49,1.273061e0,1.048492e-1
QQN-GoldenSection,107,1.395282e-1,-8.553381e-1
QQN-GoldenSection,163,7.978326e-2,-1.098088e0
QQN-GoldenSection,211,8.137230e-4,-3.089523e0
QQN-GoldenSection,270,1.748831e-5,-4.757252e0
QQN-GoldenSection,318,5.558173e-6,-5.255068e0
QQN-GoldenSection,366,2.839255e-11,-1.054680e1
QQN-GoldenSection,370,7.486825e-16,-1.500000e1
QQN-GoldenSection,2,1.239443e0,9.322656e-2
QQN-GoldenSection,49,1.239443e0,9.322656e-2
QQN-GoldenSection,107,7.283847e-2,-1.137639e0
QQN-GoldenSection,155,3.169847e-2,-1.498962e0
QQN-GoldenSection,203,3.057570e-2,-1.514624e0
QQN-GoldenSection,251,3.226912e-5,-4.491213e0
QQN-GoldenSection,299,6.680904e-6,-5.175165e0
QQN-GoldenSection,347,1.018642e-6,-5.991979e0
QQN-GoldenSection,395,3.237494e-10,-9.489791e0
QQN-GoldenSection,443,7.737403e-13,-1.211140e1
QQN-GoldenSection,447,2.538810e-17,-1.500000e1
QQN-GoldenSection,2,1.153280e0,6.193486e-2
QQN-GoldenSection,49,1.153280e0,6.193486e-2
QQN-GoldenSection,107,1.192802e-1,-9.234318e-1
QQN-GoldenSection,162,6.036673e-2,-1.219202e0
QQN-GoldenSection,210,1.292317e-2,-1.888631e0
QQN-GoldenSection,268,1.974506e-3,-2.704542e0
QQN-GoldenSection,316,5.407239e-4,-3.267024e0
QQN-GoldenSection,364,2.651444e-5,-4.576518e0
QQN-GoldenSection,412,2.307521e-7,-6.636854e0
QQN-GoldenSection,460,7.787751e-10,-9.108588e0
QQN-GoldenSection,508,3.703608e-12,-1.143138e1
QQN-GoldenSection,512,7.382266e-16,-1.500000e1
QQN-Bisection-1,2,1.146738e0,5.946433e-2
QQN-Bisection-1,61,1.146738e0,5.946433e-2
QQN-Bisection-1,101,9.234021e-2,-1.034609e0
QQN-Bisection-1,178,4.173416e-2,-1.379508e0
QQN-Bisection-1,227,3.491006e-2,-1.457049e0
QQN-Bisection-1,248,2.673195e-3,-2.572969e0
QQN-Bisection-1,269,1.508318e-3,-2.821507e0
QQN-Bisection-1,290,1.769357e-4,-3.752185e0
QQN-Bisection-1,311,2.988192e-5,-4.524592e0
QQN-Bisection-1,332,6.111220e-7,-6.213872e0
QQN-Bisection-1,353,3.137340e-9,-8.503438e0
QQN-Bisection-1,374,6.336208e-12,-1.119817e1
QQN-Bisection-1,378,3.993512e-15,-1.439864e1
QQN-Bisection-1,2,1.250762e0,9.717456e-2
QQN-Bisection-1,61,1.250762e0,9.717456e-2
QQN-Bisection-1,101,1.443363e-1,-8.406244e-1
QQN-Bisection-1,180,8.528726e-2,-1.069116e0
QQN-Bisection-1,201,7.905598e-2,-1.102065e0
QQN-Bisection-1,222,2.390444e-3,-2.621521e0
QQN-Bisection-1,243,4.220733e-4,-3.374612e0
QQN-Bisection-1,264,1.394594e-5,-4.855552e0
QQN-Bisection-1,285,2.391941e-7,-6.621249e0
QQN-Bisection-1,306,5.234055e-10,-9.281162e0
QQN-Bisection-1,310,1.890386e-16,-1.500000e1
QQN-Bisection-1,2,9.141432e-1,-3.898576e-2
QQN-Bisection-1,61,9.141432e-1,-3.898576e-2
QQN-Bisection-1,101,9.706433e-2,-1.012940e0
QQN-Bisection-1,178,4.456046e-2,-1.351050e0
QQN-Bisection-1,227,3.696082e-2,-1.432258e0
QQN-Bisection-1,248,2.645083e-3,-2.577561e0
QQN-Bisection-1,269,1.418883e-3,-2.848053e0
QQN-Bisection-1,290,1.741648e-4,-3.759040e0
QQN-Bisection-1,311,2.953633e-5,-4.529644e0
QQN-Bisection-1,332,6.228803e-7,-6.205595e0
QQN-Bisection-1,353,3.455034e-9,-8.461548e0
QQN-Bisection-1,374,7.237176e-12,-1.114043e1
QQN-Bisection-1,378,4.663804e-15,-1.433126e1
QQN-Bisection-1,2,1.595341e0,2.028534e-1
QQN-Bisection-1,61,1.595341e0,2.028534e-1
QQN-Bisection-1,101,7.361112e-2,-1.133057e0
QQN-Bisection-1,122,3.209426e-2,-1.493573e0
QQN-Bisection-1,143,2.957147e-2,-1.529127e0
QQN-Bisection-1,164,2.256464e-5,-4.646572e0
QQN-Bisection-1,185,3.005502e-6,-5.522083e0
QQN-Bisection-1,206,7.344270e-7,-6.134051e0
QQN-Bisection-1,210,7.925118e-14,-1.310099e1
QQN-Bisection-1,2,1.585203e0,2.000849e-1
QQN-Bisection-1,61,1.585203e0,2.000849e-1
QQN-Bisection-1,101,1.029771e-1,-9.872593e-1
QQN-Bisection-1,178,4.831418e-2,-1.315925e0
QQN-Bisection-1,227,3.964176e-2,-1.401847e0
QQN-Bisection-1,248,2.794288e-3,-2.553729e0
QQN-Bisection-1,269,1.547246e-3,-2.810441e0
QQN-Bisection-1,290,1.526780e-4,-3.816223e0
QQN-Bisection-1,311,3.204329e-5,-4.494263e0
QQN-Bisection-1,332,5.521071e-7,-6.257977e0
QQN-Bisection-1,353,4.080086e-9,-8.389331e0
QQN-Bisection-1,374,7.069052e-12,-1.115064e1
QQN-Bisection-1,378,4.921034e-15,-1.430794e1
QQN-Bisection-1,2,1.281594e0,1.077506e-1
QQN-Bisection-1,61,1.281594e0,1.077506e-1
QQN-Bisection-1,101,5.758686e-2,-1.239677e0
QQN-Bisection-1,122,2.513735e-2,-1.599680e0
QQN-Bisection-1,143,2.155236e-2,-1.666505e0
QQN-Bisection-1,164,2.010322e-4,-3.696734e0
QQN-Bisection-1,185,5.414664e-5,-4.266428e0
QQN-Bisection-1,206,1.245015e-6,-5.904825e0
QQN-Bisection-1,227,3.164106e-9,-8.499749e0
QQN-Bisection-1,248,5.876197e-12,-1.123090e1
QQN-Bisection-1,252,1.993814e-15,-1.470032e1
QQN-Bisection-1,2,1.034988e0,1.493517e-2
QQN-Bisection-1,61,1.034988e0,1.493517e-2
QQN-Bisection-1,101,1.085940e-1,-9.641942e-1
QQN-Bisection-1,178,5.216349e-2,-1.282633e0
QQN-Bisection-1,227,4.224483e-2,-1.374226e0
QQN-Bisection-1,248,3.017621e-3,-2.520335e0
QQN-Bisection-1,269,1.678623e-3,-2.775047e0
QQN-Bisection-1,290,1.211538e-4,-3.916663e0
QQN-Bisection-1,311,2.938257e-5,-4.531910e0
QQN-Bisection-1,332,3.961537e-7,-6.402136e0
QQN-Bisection-1,353,3.409386e-9,-8.467324e0
QQN-Bisection-1,374,4.389149e-12,-1.135762e1
QQN-Bisection-1,378,2.928004e-15,-1.453343e1
QQN-Bisection-1,2,1.270964e0,1.041331e-1
QQN-Bisection-1,61,1.270964e0,1.041331e-1
QQN-Bisection-1,101,1.476551e-1,-8.307517e-1
QQN-Bisection-1,180,8.931422e-2,-1.049079e0
QQN-Bisection-1,201,7.397962e-2,-1.130888e0
QQN-Bisection-1,222,2.526915e-3,-2.597409e0
QQN-Bisection-1,243,4.811841e-4,-3.317689e0
QQN-Bisection-1,264,6.359759e-6,-5.196559e0
QQN-Bisection-1,285,5.873116e-7,-6.231131e0
QQN-Bisection-1,306,8.742051e-8,-7.058387e0
QQN-Bisection-1,327,9.263107e-10,-9.033243e0
QQN-Bisection-1,348,8.715502e-12,-1.105971e1
QQN-Bisection-1,352,5.385593e-15,-1.426877e1
QQN-Bisection-1,2,1.194492e0,7.718309e-2
QQN-Bisection-1,61,1.194492e0,7.718309e-2
QQN-Bisection-1,101,6.588896e-2,-1.181187e0
QQN-Bisection-1,122,2.859820e-2,-1.543661e0
QQN-Bisection-1,143,2.594014e-2,-1.586028e0
QQN-Bisection-1,164,1.056051e-4,-3.976315e0
QQN-Bisection-1,185,2.784568e-5,-4.555242e0
QQN-Bisection-1,206,1.205452e-6,-5.918850e0
QQN-Bisection-1,227,2.703836e-9,-8.568020e0
QQN-Bisection-1,248,5.633457e-12,-1.124923e1
QQN-Bisection-1,252,2.648480e-15,-1.457700e1
QQN-Bisection-1,2,1.467654e0,1.666237e-1
QQN-Bisection-1,61,1.467654e0,1.666237e-1
QQN-Bisection-1,101,1.259491e-1,-8.998048e-1
QQN-Bisection-1,168,6.615023e-2,-1.179469e0
QQN-Bisection-1,213,1.390782e-2,-1.856741e0
QQN-Bisection-1,234,4.166963e-3,-2.380180e0
QQN-Bisection-1,255,3.787344e-4,-3.421665e0
QQN-Bisection-1,276,6.691751e-5,-4.174460e0
QQN-Bisection-1,297,1.449094e-6,-5.838903e0
QQN-Bisection-1,318,1.214371e-8,-7.915649e0
QQN-Bisection-1,339,4.562064e-11,-1.034084e1
QQN-Bisection-1,343,5.351777e-14,-1.327150e1
QQN-Bisection-1,2,1.561872e0,1.936455e-1
QQN-Bisection-1,61,1.561872e0,1.936455e-1
QQN-Bisection-1,101,1.196512e-1,-9.220830e-1
QQN-Bisection-1,178,6.067830e-2,-1.216967e0
QQN-Bisection-1,227,4.717866e-2,-1.326254e0
QQN-Bisection-1,248,3.663159e-3,-2.436144e0
QQN-Bisection-1,269,1.920980e-3,-2.716477e0
QQN-Bisection-1,290,5.350714e-5,-4.271588e0
QQN-Bisection-1,311,1.468616e-5,-4.833092e0
QQN-Bisection-1,332,2.057269e-7,-6.686709e0
QQN-Bisection-1,353,2.367532e-9,-8.625704e0
QQN-Bisection-1,374,2.367326e-12,-1.162574e1
QQN-Bisection-1,378,1.646863e-15,-1.478334e1
QQN-Bisection-1,2,1.154006e0,6.220804e-2
QQN-Bisection-1,61,1.154006e0,6.220804e-2
QQN-Bisection-1,101,6.432709e-2,-1.191606e0
QQN-Bisection-1,122,2.792802e-2,-1.553960e0
QQN-Bisection-1,143,2.504359e-2,-1.601303e0
QQN-Bisection-1,164,1.243280e-4,-3.905431e0
QQN-Bisection-1,185,3.324634e-5,-4.478256e0
QQN-Bisection-1,206,1.176589e-6,-5.929375e0
QQN-Bisection-1,227,2.920948e-9,-8.534476e0
QQN-Bisection-1,248,5.559968e-12,-1.125493e1
QQN-Bisection-1,252,2.508591e-15,-1.460057e1
QQN-Bisection-1,2,1.217982e0,8.564095e-2
QQN-Bisection-1,61,1.217982e0,8.564095e-2
QQN-Bisection-1,101,7.189157e-2,-1.143322e0
QQN-Bisection-1,122,3.126344e-2,-1.504963e0
QQN-Bisection-1,143,2.988376e-2,-1.524565e0
QQN-Bisection-1,164,4.049718e-5,-4.392575e0
QQN-Bisection-1,185,9.040651e-6,-5.043800e0
QQN-Bisection-1,206,1.115127e-6,-5.952676e0
QQN-Bisection-1,227,7.109138e-10,-9.148183e0
QQN-Bisection-1,248,2.098490e-12,-1.167809e1
QQN-Bisection-1,252,2.398930e-16,-1.500000e1
QQN-Bisection-1,2,1.064604e0,2.718814e-2
QQN-Bisection-1,61,1.064604e0,2.718814e-2
QQN-Bisection-1,101,1.443378e-1,-8.406198e-1
QQN-Bisection-1,180,8.529261e-2,-1.069089e0
QQN-Bisection-1,201,7.924804e-2,-1.101011e0
QQN-Bisection-1,222,2.449048e-3,-2.611003e0
QQN-Bisection-1,243,4.272728e-4,-3.369295e0
QQN-Bisection-1,264,1.450084e-5,-4.838607e0
QQN-Bisection-1,285,1.811936e-7,-6.741857e0
QQN-Bisection-1,306,9.692331e-10,-9.013572e0
QQN-Bisection-1,310,1.425237e-16,-1.500000e1
QQN-Bisection-1,2,1.359772e0,1.334662e-1
QQN-Bisection-1,61,1.359772e0,1.334662e-1
QQN-Bisection-1,101,8.697938e-2,-1.060584e0
QQN-Bisection-1,178,3.874739e-2,-1.411758e0
QQN-Bisection-1,227,3.264785e-2,-1.486145e0
QQN-Bisection-1,248,2.575574e-3,-2.589126e0
QQN-Bisection-1,269,1.417740e-3,-2.848403e0
QQN-Bisection-1,290,1.821484e-4,-3.739575e0
QQN-Bisection-1,311,2.553155e-5,-4.592923e0
QQN-Bisection-1,332,5.571065e-7,-6.254062e0
QQN-Bisection-1,353,2.109624e-9,-8.675795e0
QQN-Bisection-1,374,4.415490e-12,-1.135502e1
QQN-Bisection-1,378,2.338053e-15,-1.463115e1
QQN-Bisection-1,2,1.426831e0,1.543726e-1
QQN-Bisection-1,61,1.426831e0,1.543726e-1
QQN-Bisection-1,101,9.189520e-2,-1.036707e0
QQN-Bisection-1,178,4.148339e-2,-1.382126e0
QQN-Bisection-1,227,3.471429e-2,-1.459492e0
QQN-Bisection-1,248,2.641395e-3,-2.578167e0
QQN-Bisection-1,269,1.464645e-3,-2.834268e0
QQN-Bisection-1,290,1.789595e-4,-3.747245e0
QQN-Bisection-1,311,2.876216e-5,-4.541179e0
QQN-Bisection-1,332,6.076304e-7,-6.216360e0
QQN-Bisection-1,353,2.925407e-9,-8.533814e0
QQN-Bisection-1,374,6.066578e-12,-1.121706e1
QQN-Bisection-1,378,3.711156e-15,-1.443049e1
QQN-Bisection-1,2,1.577701e0,1.980246e-1
QQN-Bisection-1,61,1.577701e0,1.980246e-1
QQN-Bisection-1,101,1.326381e-1,-8.773317e-1
QQN-Bisection-1,168,7.253621e-2,-1.139445e0
QQN-Bisection-1,213,7.050995e-3,-2.151750e0
QQN-Bisection-1,234,3.700888e-3,-2.431694e0
QQN-Bisection-1,255,3.391637e-4,-3.469591e0
QQN-Bisection-1,276,8.151720e-5,-4.088751e0
QQN-Bisection-1,297,5.957803e-7,-6.224914e0
QQN-Bisection-1,318,3.339062e-9,-8.476375e0
QQN-Bisection-1,339,8.401959e-12,-1.107562e1
QQN-Bisection-1,343,6.207240e-15,-1.420710e1
QQN-Bisection-1,2,1.269317e0,1.035702e-1
QQN-Bisection-1,61,1.269317e0,1.035702e-1
QQN-Bisection-1,101,8.550429e-2,-1.068012e0
QQN-Bisection-1,178,3.795537e-2,-1.420727e0
QQN-Bisection-1,227,3.204543e-2,-1.494234e0
QQN-Bisection-1,248,2.564808e-3,-2.590945e0
QQN-Bisection-1,269,1.421741e-3,-2.847179e0
QQN-Bisection-1,290,1.818932e-4,-3.740184e0
QQN-Bisection-1,311,2.505187e-5,-4.601160e0
QQN-Bisection-1,332,5.435094e-7,-6.264793e0
QQN-Bisection-1,353,1.963473e-9,-8.706975e0
QQN-Bisection-1,374,4.065712e-12,-1.139086e1
QQN-Bisection-1,378,2.108162e-15,-1.467610e1
QQN-Bisection-1,2,1.497542e0,1.753790e-1
QQN-Bisection-1,61,1.497542e0,1.753790e-1
QQN-Bisection-1,101,5.430954e-2,-1.265124e0
QQN-Bisection-1,122,2.384827e-2,-1.622543e0
QQN-Bisection-1,143,1.981743e-2,-1.702953e0
QQN-Bisection-1,164,2.288423e-4,-3.640464e0
QQN-Bisection-1,185,5.901987e-5,-4.229002e0
QQN-Bisection-1,206,1.955159e-6,-5.708818e0
QQN-Bisection-1,227,4.009021e-9,-8.396962e0
QQN-Bisection-1,248,9.621737e-12,-1.101675e1
QQN-Bisection-1,252,3.186754e-15,-1.449665e1
QQN-Bisection-1,2,1.367782e0,1.360170e-1
QQN-Bisection-1,61,1.367782e0,1.360170e-1
QQN-Bisection-1,101,6.604703e-2,-1.180147e0
QQN-Bisection-1,122,2.867487e-2,-1.542499e0
QQN-Bisection-1,143,2.583706e-2,-1.587757e0
QQN-Bisection-1,164,1.020867e-4,-3.991031e0
QQN-Bisection-1,185,2.623971e-5,-4.581041e0
QQN-Bisection-1,206,1.436920e-6,-5.842567e0
QQN-Bisection-1,227,2.541934e-9,-8.594836e0
QQN-Bisection-1,248,6.204397e-12,-1.120730e1
QQN-Bisection-1,252,2.801452e-15,-1.455262e1
QQN-CubicQuadraticInterpolation,2,9.734807e-1,-1.167263e-2
QQN-CubicQuadraticInterpolation,64,9.734807e-1,-1.167263e-2
QQN-CubicQuadraticInterpolation,152,6.418923e-1,-1.925378e-1
QQN-CubicQuadraticInterpolation,177,7.941523e-2,-1.100096e0
QQN-CubicQuadraticInterpolation,265,1.620258e-2,-1.790416e0
QQN-CubicQuadraticInterpolation,353,1.106335e-2,-1.956113e0
QQN-CubicQuadraticInterpolation,441,6.047581e-3,-2.218418e0
QQN-CubicQuadraticInterpolation,457,1.177885e-3,-2.928897e0
QQN-CubicQuadraticInterpolation,545,1.025727e-4,-3.988968e0
QQN-CubicQuadraticInterpolation,561,2.427138e-6,-5.614905e0
QQN-CubicQuadraticInterpolation,577,4.369198e-8,-7.359598e0
QQN-CubicQuadraticInterpolation,593,3.978907e-10,-9.400236e0
QQN-CubicQuadraticInterpolation,597,5.156898e-13,-1.228761e1
QQN-CubicQuadraticInterpolation,2,1.317050e0,1.196024e-1
QQN-CubicQuadraticInterpolation,64,1.317050e0,1.196024e-1
QQN-CubicQuadraticInterpolation,80,5.079509e-1,-2.941783e-1
QQN-CubicQuadraticInterpolation,168,2.354006e-2,-1.628192e0
QQN-CubicQuadraticInterpolation,256,1.189875e-2,-1.924499e0
QQN-CubicQuadraticInterpolation,272,8.233816e-3,-2.084399e0
QQN-CubicQuadraticInterpolation,360,1.028020e-3,-2.987998e0
