Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,5.219893e-27,4.333619e-13,6,233,33,0.003,true
QQN-GoldenSection,1,3.321104e-28,1.092857e-13,6,233,33,0.003,true
QQN-GoldenSection,2,5.111819e-28,1.356560e-13,6,233,33,0.003,true
QQN-GoldenSection,3,6.166526e-27,4.710428e-13,6,233,33,0.003,true
QQN-GoldenSection,4,4.835717e-28,1.318937e-13,6,233,33,0.003,true
QQN-GoldenSection,5,5.059123e-26,1.349082e-12,6,233,33,0.003,true
QQN-GoldenSection,6,8.766611e-27,5.615002e-13,6,233,33,0.003,true
QQN-GoldenSection,7,1.061491e-26,6.180088e-13,6,233,33,0.003,true
QQN-GoldenSection,8,3.092335e-28,1.055102e-13,6,233,33,0.003,true
QQN-GoldenSection,9,4.433398e-27,3.994394e-13,6,233,33,0.003,true
QQN-GoldenSection,10,3.991163e-26,1.198337e-12,6,233,33,0.003,true
QQN-GoldenSection,11,6.071074e-27,4.672865e-13,6,233,33,0.003,true
QQN-GoldenSection,12,1.222419e-26,6.632261e-13,6,233,33,0.003,true
QQN-GoldenSection,13,1.237944e-25,2.110300e-12,6,233,33,0.003,true
QQN-GoldenSection,14,5.030172e-26,1.345303e-12,6,233,33,0.003,true
QQN-GoldenSection,15,1.594525e-26,7.574386e-13,6,233,33,0.003,true
QQN-GoldenSection,16,2.813788e-26,1.006154e-12,6,233,33,0.003,true
QQN-GoldenSection,17,1.277955e-28,6.782799e-14,6,233,33,0.003,true
QQN-GoldenSection,18,1.151737e-27,2.034995e-13,6,233,33,0.003,true
QQN-GoldenSection,19,1.707884e-26,7.838264e-13,6,233,33,0.003,true
QQN-Bisection-1,0,1.718306e-14,7.798186e-7,10,198,214,0.003,true
QQN-Bisection-1,1,2.433823e-14,9.275487e-7,10,198,214,0.003,true
QQN-Bisection-1,2,1.232666e-17,2.092648e-8,10,198,214,0.003,true
QQN-Bisection-1,3,2.242914e-14,8.904782e-7,10,198,214,0.003,true
QQN-Bisection-1,4,2.250644e-14,8.920121e-7,10,198,214,0.003,true
QQN-Bisection-1,5,1.652305e-17,2.422170e-8,10,198,214,0.003,true
QQN-Bisection-1,6,1.802644e-14,7.988233e-7,10,198,214,0.003,true
QQN-Bisection-1,7,1.617303e-14,7.565583e-7,10,198,214,0.003,true
QQN-Bisection-1,8,1.253415e-14,6.661958e-7,10,198,214,0.003,true
QQN-Bisection-1,9,9.361327e-17,4.756901e-8,11,209,224,0.003,true
QQN-Bisection-1,10,3.897676e-17,3.716678e-8,10,198,214,0.003,true
QQN-Bisection-1,11,2.825097e-14,9.992825e-7,10,198,214,0.003,true
QQN-Bisection-1,12,4.419365e-17,3.957070e-8,10,198,214,0.003,true
QQN-Bisection-1,13,1.224276e-17,2.085373e-8,10,198,214,0.003,true
QQN-Bisection-1,14,3.693543e-17,3.618811e-8,10,198,214,0.003,true
QQN-Bisection-1,15,9.182460e-17,4.678470e-8,11,209,224,0.003,true
QQN-Bisection-1,16,1.401596e-14,7.044359e-7,10,198,214,0.003,true
QQN-Bisection-1,17,9.981478e-17,4.912570e-8,11,209,224,0.003,true
QQN-Bisection-1,18,4.083488e-17,3.803589e-8,10,198,214,0.003,true
QQN-Bisection-1,19,2.531047e-17,2.996075e-8,10,198,214,0.003,true
QQN-CubicQuadraticInterpolation,0,4.116185e-21,1.476680e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,1,6.315879e-19,1.928160e-9,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,2,1.451982e-19,9.101078e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,3,7.482095e-19,2.100222e-9,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,4,2.924836e-21,1.241979e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,5,2.111603e-19,1.101221e-9,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,6,3.753821e-21,1.408820e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,7,9.883416e-20,7.466427e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,8,2.303610e-14,9.106586e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,9,7.102737e-21,1.952255e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,10,2.537107e-21,1.154353e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,11,4.972349e-15,4.230891e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,12,1.872376e-19,1.034017e-9,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,13,2.487725e-19,1.196088e-9,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,14,9.463108e-15,5.836709e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,15,4.905282e-20,5.223642e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,16,3.813512e-21,1.420908e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,17,7.737982e-21,2.036894e-10,8,132,178,0.003,true
QQN-CubicQuadraticInterpolation,18,1.245903e-14,6.697199e-7,7,124,170,0.003,true
QQN-CubicQuadraticInterpolation,19,4.370801e-21,1.523151e-10,8,132,178,0.003,true
L-BFGS-Aggressive,0,8.447069e1,5.453936e1,76,772,233,0.006,false
L-BFGS-Aggressive,1,8.176660e1,5.368703e1,76,772,233,0.005,false
L-BFGS-Aggressive,2,6.991952e1,4.967897e1,76,772,233,0.006,false
L-BFGS-Aggressive,3,8.179639e1,5.375614e1,76,772,233,0.005,false
L-BFGS-Aggressive,4,8.112554e1,5.341296e1,76,772,233,0.005,false
L-BFGS-Aggressive,5,8.195063e1,5.362301e1,76,772,233,0.005,false
L-BFGS-Aggressive,6,6.717075e1,4.858174e1,76,772,233,0.006,false
L-BFGS-Aggressive,7,6.369840e1,4.719845e1,76,772,233,0.006,false
L-BFGS-Aggressive,8,8.462875e1,5.455442e1,76,772,233,0.005,false
L-BFGS-Aggressive,9,7.681056e1,5.201142e1,76,772,233,0.005,false
L-BFGS-Aggressive,10,6.738971e1,4.856417e1,76,772,233,0.005,false
L-BFGS-Aggressive,11,8.479868e1,5.468147e1,76,772,233,0.005,false
L-BFGS-Aggressive,12,8.099722e1,5.346683e1,76,772,233,0.006,false
L-BFGS-Aggressive,13,7.590598e1,5.153726e1,76,772,233,0.006,false
L-BFGS-Aggressive,14,7.837046e1,5.233513e1,76,772,233,0.005,false
L-BFGS-Aggressive,15,7.183709e1,5.011536e1,76,772,233,0.006,false
L-BFGS-Aggressive,16,6.652016e1,4.831024e1,76,772,233,0.006,false
L-BFGS-Aggressive,17,7.034603e1,4.986417e1,76,772,233,0.005,false
L-BFGS-Aggressive,18,7.533001e1,5.145383e1,76,772,233,0.005,false
L-BFGS-Aggressive,19,6.613787e1,4.817121e1,76,772,233,0.005,false
Adam-Fast,0,3.134631e0,8.031332e0,28,59,58,0.001,false
Adam-Fast,1,3.039571e0,7.885930e0,25,53,52,0.001,false
Adam-Fast,2,2.872731e0,7.867737e0,25,53,52,0.001,false
Adam-Fast,3,3.384967e0,7.908362e0,26,55,54,0.001,false
Adam-Fast,4,2.978441e0,7.861751e0,25,53,52,0.001,false
Adam-Fast,5,2.972070e0,7.940739e0,26,55,54,0.001,false
Adam-Fast,6,2.848608e0,7.970686e0,26,55,54,0.001,false
Adam-Fast,7,3.081247e0,7.887726e0,27,57,56,0.001,false
Adam-Fast,8,3.167594e0,8.043921e0,27,57,56,0.001,false
Adam-Fast,9,3.143123e0,7.991351e0,28,59,58,0.001,false
Adam-Fast,10,3.150805e0,8.017027e0,28,59,58,0.001,false
Adam-Fast,11,3.463546e0,7.929958e0,26,55,54,0.001,false
Adam-Fast,12,3.062366e0,7.940117e0,28,59,58,0.001,false
Adam-Fast,13,2.879947e0,7.981067e0,26,55,54,0.001,false
Adam-Fast,14,2.763196e0,7.952752e0,27,57,56,0.001,false
Adam-Fast,15,3.040792e0,7.983678e0,27,57,56,0.001,false
Adam-Fast,16,2.878400e0,7.801018e0,25,53,52,0.001,false
Adam-Fast,17,3.269281e0,7.875192e0,27,57,56,0.001,false
Adam-Fast,18,3.290661e0,7.815281e0,26,55,54,0.001,false
Adam-Fast,19,2.824382e0,8.053382e0,27,57,56,0.001,false
GD,0,5.292316e-6,4.601007e-3,332,335,668,0.008,false
GD,1,5.425635e-6,4.658598e-3,332,335,668,0.007,false
GD,2,5.659275e-6,4.757846e-3,332,335,668,0.008,false
GD,3,5.215278e-6,4.567397e-3,332,335,668,0.008,false
GD,4,7.186981e-6,5.361709e-3,332,335,668,0.008,false
GD,5,5.947644e-6,4.877559e-3,332,335,668,0.008,false
GD,6,5.364352e-6,4.632214e-3,332,335,668,0.008,false
GD,7,6.091699e-6,4.936273e-3,332,335,668,0.008,false
GD,8,5.737425e-6,4.790584e-3,332,335,668,0.008,false
GD,9,4.246181e-6,4.121253e-3,332,335,668,0.008,false
GD,10,5.298644e-6,4.603757e-3,332,335,668,0.008,false
GD,11,5.055445e-6,4.496863e-3,332,335,668,0.008,false
GD,12,4.379480e-6,4.185442e-3,332,335,668,0.008,false
GD,13,6.266537e-6,5.006610e-3,332,335,668,0.007,false
GD,14,4.557012e-6,4.269432e-3,332,335,668,0.008,false
GD,15,4.819935e-6,4.390870e-3,332,335,668,0.008,false
GD,16,3.912559e-6,3.956038e-3,332,335,668,0.008,false
GD,17,4.565707e-6,4.273503e-3,332,335,668,0.008,false
GD,18,5.903193e-6,4.859298e-3,332,335,668,0.008,false
GD,19,4.161620e-6,4.080010e-3,332,335,668,0.008,false
QQN-GoldenSection,0,7.366699e-26,1.627942e-12,6,228,33,0.003,true
QQN-GoldenSection,1,1.293180e-26,6.820771e-13,6,228,33,0.003,true
QQN-GoldenSection,2,4.143097e-26,1.220945e-12,6,228,33,0.003,true
QQN-GoldenSection,3,5.686109e-27,4.522145e-13,6,228,33,0.003,true
QQN-GoldenSection,4,2.279808e-27,2.863959e-13,6,228,33,0.003,true
QQN-GoldenSection,5,1.809529e-25,2.551223e-12,6,228,33,0.003,true
QQN-GoldenSection,6,1.945331e-26,8.365792e-13,6,228,33,0.003,true
QQN-GoldenSection,7,1.454660e-26,7.235161e-13,6,228,33,0.003,true
QQN-GoldenSection,8,2.682127e-28,9.800597e-14,6,228,33,0.003,true
QQN-GoldenSection,9,1.934287e-27,2.637875e-13,6,228,33,0.003,true
QQN-GoldenSection,10,7.737148e-27,5.275750e-13,6,228,33,0.003,true
QQN-GoldenSection,11,4.835717e-28,1.318937e-13,6,228,33,0.003,true
QQN-GoldenSection,12,7.401803e-26,1.631722e-12,6,228,33,0.003,true
QQN-GoldenSection,13,3.525680e-25,3.561156e-12,6,228,33,0.003,true
QQN-GoldenSection,14,2.401293e-27,2.939320e-13,6,228,33,0.003,true
QQN-GoldenSection,15,5.639724e-26,1.424443e-12,6,228,33,0.003,true
QQN-GoldenSection,16,8.645916e-27,5.577195e-13,6,228,33,0.003,true
QQN-GoldenSection,17,1.167514e-26,6.481536e-13,6,228,33,0.003,true
QQN-GoldenSection,18,1.129846e-25,2.016087e-12,6,228,33,0.003,true
QQN-GoldenSection,19,1.488265e-25,2.313799e-12,6,228,33,0.003,true
QQN-Bisection-1,0,1.471414e-14,7.218542e-7,10,195,208,0.003,true
QQN-Bisection-1,1,1.536055e-14,7.373224e-7,10,195,208,0.003,true
QQN-Bisection-1,2,1.642821e-17,2.415315e-8,10,195,208,0.003,true
QQN-Bisection-1,3,1.987032e-17,2.655973e-8,10,195,208,0.003,true
QQN-Bisection-1,4,1.224801e-17,2.085833e-8,10,195,208,0.003,true
QQN-Bisection-1,5,2.335984e-17,2.878893e-8,10,195,208,0.003,true
QQN-Bisection-1,6,1.854046e-14,8.099601e-7,10,195,208,0.003,true
QQN-Bisection-1,7,1.030625e-16,4.983099e-8,11,206,218,0.003,true
QQN-Bisection-1,8,2.315379e-14,9.047507e-7,10,195,208,0.003,true
QQN-Bisection-1,9,2.090589e-14,8.600359e-7,10,195,208,0.003,true
QQN-Bisection-1,10,4.215307e-17,3.864236e-8,10,195,208,0.003,true
QQN-Bisection-1,11,1.997578e-14,8.405956e-7,10,195,208,0.003,true
QQN-Bisection-1,12,2.542781e-14,9.480788e-7,10,195,208,0.003,true
QQN-Bisection-1,13,2.581657e-14,9.552776e-7,10,195,208,0.003,true
QQN-Bisection-1,14,9.212593e-17,4.697810e-8,11,206,218,0.003,true
QQN-Bisection-1,15,4.255976e-17,3.883585e-8,10,195,208,0.003,true
QQN-Bisection-1,16,2.616931e-17,3.046498e-8,10,195,208,0.003,true
QQN-Bisection-1,17,1.973854e-17,2.646894e-8,10,195,208,0.003,true
QQN-Bisection-1,18,1.623426e-14,7.581622e-7,10,195,208,0.003,true
QQN-Bisection-1,19,9.053411e-17,4.635766e-8,11,206,218,0.003,true
QQN-Bisection-2,0,2.443449e-17,2.943926e-8,10,134,128,0.002,true
QQN-Bisection-2,1,2.371694e-14,9.156831e-7,10,134,128,0.002,true
QQN-Bisection-2,2,2.010822e-14,8.435785e-7,10,134,128,0.002,true
QQN-Bisection-2,3,1.566482e-14,7.446181e-7,10,134,128,0.002,true
QQN-Bisection-2,4,1.620437e-14,7.572728e-7,10,134,128,0.002,true
QQN-Bisection-2,5,3.888389e-17,3.712505e-8,10,134,128,0.002,true
QQN-Bisection-2,6,1.385520e-17,2.218466e-8,10,134,128,0.002,true
QQN-Bisection-2,7,5.645880e-15,2.658601e-7,10,144,129,0.003,true
QQN-Bisection-2,8,2.370004e-14,9.155672e-7,10,134,128,0.002,true
QQN-Bisection-2,9,4.404090e-17,3.949640e-8,10,134,128,0.002,true
QQN-Bisection-2,10,2.185969e-14,8.792678e-7,10,134,128,0.002,true
QQN-Bisection-2,11,3.901669e-17,3.719025e-8,10,134,128,0.002,true
QQN-Bisection-2,12,3.712003e-17,3.626982e-8,10,134,128,0.002,true
QQN-Bisection-2,13,1.683419e-14,7.719785e-7,10,134,128,0.002,true
QQN-Bisection-2,14,1.789146e-14,7.955876e-7,10,134,128,0.002,true
QQN-Bisection-2,15,9.283596e-17,4.716969e-8,11,145,137,0.003,true
QQN-Bisection-2,16,1.752621e-14,7.875351e-7,10,134,128,0.002,true
QQN-Bisection-2,17,3.651510e-17,3.597252e-8,10,134,128,0.002,true
QQN-Bisection-2,18,1.464941e-14,7.200869e-7,10,134,128,0.002,true
QQN-Bisection-2,19,1.470568e-14,7.215216e-7,10,134,128,0.002,true
QQN-StrongWolfe,0,1.283488e-5,2.149548e-2,63,482,528,0.016,false
QQN-StrongWolfe,1,1.344484e-5,2.200032e-2,63,482,524,0.016,false
QQN-StrongWolfe,2,1.505158e-5,2.327782e-2,63,482,526,0.016,false
QQN-StrongWolfe,3,1.316703e-5,2.177184e-2,63,482,530,0.016,false
QQN-StrongWolfe,4,1.401041e-5,2.245829e-2,63,482,526,0.016,false
QQN-StrongWolfe,5,1.353609e-5,2.207486e-2,63,482,528,0.016,false
QQN-StrongWolfe,6,1.350118e-5,2.204637e-2,63,482,526,0.016,false
QQN-StrongWolfe,7,1.242706e-5,2.115123e-2,63,482,526,0.016,false
QQN-StrongWolfe,8,1.403011e-5,2.247407e-2,63,482,526,0.016,false
QQN-StrongWolfe,9,1.279195e-5,2.145950e-2,63,482,528,0.016,false
QQN-StrongWolfe,10,1.163253e-5,2.046390e-2,63,482,526,0.016,false
QQN-StrongWolfe,11,1.134948e-5,2.021339e-2,63,482,528,0.016,false
QQN-StrongWolfe,12,1.302904e-5,2.165746e-2,63,482,526,0.016,false
QQN-StrongWolfe,13,1.090670e-5,1.981518e-2,63,482,526,0.017,false
QQN-StrongWolfe,14,1.338633e-5,2.195240e-2,63,482,528,0.016,false
QQN-StrongWolfe,15,1.437153e-5,2.274588e-2,63,482,524,0.016,false
QQN-StrongWolfe,16,1.420557e-5,2.261416e-2,63,482,528,0.016,false
QQN-StrongWolfe,17,1.193083e-5,2.072462e-2,63,482,530,0.016,false
QQN-StrongWolfe,18,1.182883e-5,2.063584e-2,63,482,528,0.016,false
